Treatment,Rep,S-ACP (μmol/h/g),S-β-GC (μgl/h/g),S-UE (U/g),SAHN (mg/kg）,SAP (mg/kg）,STN (g/kg）,SAK (mg/kg）,STP (mg/kg）,STK (g/kg）,STC (g/kg）,SDOC (mg/kg）,pH,SCd (mg/kg）,SACd (mg/kg）
CK,1,2.234255105,444.9696792,561.9352973,125.307367,31.70150366,1.560199005,73.01902179,743.3130321,9.641501939,19.39,138.9110173,5.65,3.433895168,1.924576354
CK,2,2.456654017,471.5683216,597.8007867,121.7756449,31.03816693,1.351816444,74.59038083,768.858891,10.06163807,19.09,139.0519592,5.74,3.627719812,1.943122833
CK,3,2.338576091,481.1823783,577.4171642,126.2985238,23.34240356,1.4348659,73.19183213,746.3738943,9.357769567,19.31,139.8232554,5.63,3.416953112,1.917269605
CK,4,2.409104193,423.2005657,644.1846473,122.301785,30.43970266,1.470871042,72.98013507,767.2305556,9.263356938,19.25,139.4374471,5.79,3.454486055,1.908418037
CK,5,2.407654619,496.7290478,603.9787231,121.1029158,25.90316167,1.243383533,73.20348763,765.8395176,9.974709811,19.5,139.9878373,5.67,3.446939282,1.918292768
CK,6,2.34628415,475.397011,526.9813745,127.94493,27.33867196,1.309628636,74.51131436,741.1419231,10.16725544,18.85,139.0075666,5.7,3.321475131,1.911515692
PE0.5,1,2.315913209,433.3348228,533.8432056,117.6133652,30.1560528,1.560283688,80.77159203,760.8651151,9.651022098,23.32,141.7852271,5.61,3.683052416,1.96382058
PE0.5,2,2.063106345,450.1174401,489.316459,124.60528,29.10353971,1.279778393,77.25310436,803.8394606,9.992439814,24.28,140.2060007,5.62,3.504085044,2.004014079
PE0.5,3,2.289266917,406.8725775,527.0547669,121.34489,24.59831988,1.273921201,77.91474818,772.239805,9.052524278,22.54,142.8357762,5.52,3.066867447,1.990008183
PE0.5,4,2.190192836,394.1024324,559.0721256,120.3967658,26.17627452,1.403547416,79.28901227,772.0964592,9.531067663,24.09,140.5387862,5.6,3.511866973,1.96748861
PE0.5,5,2.288831811,409.2207047,477.5764808,121.4221653,33.42094753,1.49219025,75.34977833,786.3574557,10.04279089,23.45,140.944818,5.6,3.500751934,1.978261309
PE0.5,6,2.389128192,434.8433083,511.1057467,116.2051318,27.91279085,1.399375065,79.25248511,800.703195,9.737388378,23.12,142.8207329,5.63,3.419622519,1.989027679
PVC5,1,2.273213803,504.1147443,505.2358261,111.1441897,29.3494996,1.220512821,76.98199531,767.8934551,9.257015269,32.85,145.0329938,5.55,3.491323898,1.983196936
PVC5,2,2.055184377,442.2151107,580.4049751,110.4233227,31.29285146,1.407749077,75.41019836,789.5190207,9.504925592,33.96,148.1262407,5.57,3.76891486,1.965901987
PVC5,3,2.110398464,411.5873555,444.7066445,106.7115423,28.96522145,1.50390625,75.3767823,730.0973873,8.906991832,34.14,148.148517,5.46,3.278944552,1.959453192
PVC5,4,2.070313933,445.979744,517.4636239,108.1315038,28.54937076,1.360722687,75.56976527,748.0919836,9.029172896,33.71,147.6918216,5.65,3.455421319,1.975054459
PVC5,5,2.103852719,433.0722602,455.611576,109.6901878,30.89556889,1.33399571,75.30206771,756.9195402,9.331546795,32.26,146.153067,5.65,3.165294099,1.990518089
PVC5,6,2.103854362,432.9829445,529.4335386,106.6886427,28.34581246,1.164311627,76.48406794,729.2299427,9.685029244,33.49,148.0225398,5.52,3.409705453,1.972717263