Treatment,Rep,BP (g/kg),BFe (mg/kg),BMg (g/kg),BK (g/kg),SP (g/kg),SFe (mg/kg),SMg (g/kg),SK (g/kg),RP (g/kg),RFe (mg/kg),RMg (g/kg),RK (g/kg)
CK,1,6.389187768,94.5378872,2.947639429,31.70013597,2.397550685,190.7520471,3.216458284,27.28443556,1.291093092,631.8612276,1.536627024,12.20915387
CK,2,6.218589906,80.29851273,3.226276951,33.02564516,2.927673261,311.487793,3.122557716,27.23218823,1.401571498,954.3620465,1.452335488,10.60742276
CK,3,6.894974782,72.43122391,3.07238895,36.79188035,2.501380895,156.5884796,3.35295348,23.1975286,1.232358687,956.673847,1.486007967,14.66154295
CK,4,6.546138242,79.89010743,3.031404676,32.00333508,2.556487297,193.8975782,3.227047303,26.80912101,1.662566463,1170.711521,2.181366337,14.09453448
CK,5,6.400244549,76.39086391,2.754353078,30.31261808,2.952098952,173.4705203,3.257414669,27.97105748,1.075971879,1106.743243,1.476218363,12.15773547
CK,6,6.07714086,88.10918175,2.72434798,27.72998755,2.740676976,197.4966374,2.988215501,24.76033755,1.693274685,1494.382987,1.958095552,13.45905349
PE0.5,1,5.159578986,73.75067948,2.594715576,28.39268229,1.330001444,67.49330895,2.574844493,14.8793365,1.508219528,500.8181504,1.678615761,16.08875075
PE0.5,2,5.740171628,67.86133525,2.722957259,30.95317474,3.044028885,86.7380891,3.275456913,27.95604586,1.532063723,1061.676635,1.945309955,15.50161461
PE0.5,3,6.274209678,52.18527844,2.650395747,30.30590594,1.995444528,76.49409084,2.861345001,21.51106257,1.441628749,825.7619885,1.719313854,16.98147332
PE0.5,4,5.341440522,57.093711,2.272009401,29.72336473,2.314823026,78.15558425,3.366990549,23.89785478,1.243604972,901.8786838,1.576690281,13.86451722
PE0.5,5,5.275567527,92.87540006,2.599597469,24.4570901,3.132303194,207.9808798,3.121352839,27.22431404,1.788104932,1012.449703,1.696726835,16.41883493
PE0.5,6,5.84616478,73.21453147,2.875904778,31.01655613,3.160377635,122.5983293,3.879208236,28.9761612,1.517439064,1165.292409,1.506425556,13.78775227
PVC5,1,5.424743485,70.12608571,2.597484966,32.16693604,2.690487484,133.1593119,3.753421794,30.16486699,1.157117746,444.7542285,1.366308398,11.64260136
PVC5,2,5.89001156,60.53754813,2.781703388,32.79773767,1.981596682,125.9046105,3.391095662,23.11191155,1.217511762,569.2934799,1.606826792,13.22282319
PVC5,3,5.748170592,70.93611694,2.78743042,29.11739405,1.893003406,112.5562096,3.340460155,24.15162161,0.985266699,424.1820417,1.27704832,10.63857579
PVC5,4,5.817326695,70.10571621,2.694618857,28.65051815,1.875309811,102.8606717,3.801551946,23.71873587,1.060295792,326.1750662,1.358487031,12.65415163
PVC5,5,5.170806005,65.27065948,2.577069891,30.64426501,1.928450046,95.55382509,3.546553585,20.68539823,1.33134984,611.5079858,2.54571101,21.98866982
PVC5,6,5.819782794,63.52251385,2.70086305,31.78440872,1.840488456,114.3646233,4.305685822,28.84045741,1.217757636,265.7918048,1.197905603,10.09983275